City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
san miguel,13.4833,-88.1833,74.53,99,100,2.24,SV,1665435248
broome,42.2506,-75.833,61.38,64,85,3,US,1665435249
tiksi,71.6872,128.8694,12.54,85,99,13.96,RU,1665434771
airai,-8.9266,125.4092,60.87,82,100,2.1,TL,1665434809
santa cruz del sur,20.7147,-77.9956,85.01,67,93,2.66,CU,1665435260
yaan,7.3833,8.5667,75.33,87,43,4.68,NG,1665435264
bambous virieux,-20.3428,57.7575,71.85,78,40,6.91,MU,1665434857
broken hill,-31.95,141.4333,59.2,38,100,11.18,AU,1665435266
verkhnevilyuysk,63.4453,120.3167,22.28,99,100,0.83,RU,1665435269
vila velha,-20.3297,-40.2925,78.75,83,75,17.27,BR,1665435280
lucapa,-8.4192,20.7447,69.31,46,6,1.14,AO,1665435291
anadyr,64.75,177.4833,23.5,85,0,2.24,RU,1665435297
cururupu,-1.8283,-44.8683,79.41,76,63,5.64,BR,1665434872
arraial do cabo,-22.9661,-42.0278,75.06,83,40,4.61,BR,1665434771
taoudenni,22.6783,-3.9836,93.74,18,33,8.86,ML,1665435299
chakwal,32.9334,72.8585,72.77,59,11,5.08,PK,1665435299
topeka,39.0483,-95.678,83.89,39,73,1.99,US,1665435300
hithadhoo,-0.6,73.0833,80.78,78,97,17.09,MV,1665434782
puerto ayora,-0.7393,-90.3518,76.96,87,65,7,EC,1665435245
sabha,27.0377,14.4283,75.24,27,40,7.47,LY,1665435290
north platte,41.1239,-100.7654,81.12,24,0,15.01,US,1665435331
xiongzhou,25.1167,114.3,57.16,36,57,2.75,CN,1665435331
hobyo,5.3505,48.5268,77.34,87,61,22.24,SO,1665434819
upernavik,72.7868,-56.1549,14.74,69,89,4.56,GL,1665434780
mitchell,43.7094,-98.0298,82.11,23,0,5.01,US,1665435332
luderitz,-26.6481,15.1594,60.31,87,43,1.23,NA,1665435333
chokurdakh,70.6333,147.9167,19.62,84,100,17.65,RU,1665434924
marsabit,2.3284,37.9899,68.25,52,0,21.05,KE,1665435335
laguna,38.421,-121.4238,92.32,34,0,8.05,US,1665435336
saint george,37.1041,-113.5841,85.42,24,0,3.44,US,1665435338
qaanaaq,77.484,-69.3632,8.17,58,23,7.23,GL,1665435338
matamba,-8.9833,33.9667,54.97,71,75,5.5,TZ,1665435339
sigli,5.3848,95.9609,76.95,81,100,3.78,ID,1665435339
dudinka,69.4058,86.1778,36.63,100,100,4.97,RU,1665435341
sao filipe,14.8961,-24.4956,78.8,76,52,7.65,CV,1665435342
ondjiva,-17.0667,15.7333,72.84,15,26,3.83,AO,1665435343
cedral,23.8,-100.7333,72.91,43,3,11.07,MX,1665435343
sidi ali,36.0998,0.4206,68.63,80,21,3.76,DZ,1665435345
dvorichna,49.8496,37.6857,50.34,94,100,11.92,UA,1665435276
victoria,22.2855,114.1577,73.33,44,3,15.01,HK,1665434574
tevriz,57.509,72.4042,48.54,79,100,10.27,RU,1665435348
isla vista,34.4133,-119.861,81.25,64,32,4.9,US,1665435348
sakakah,29.9697,40.2064,80.17,30,0,10.83,SA,1665435350
gazipur,23.9981,90.423,82.36,74,40,11.5,BD,1665435351
muisne,0.6,-80.0333,75.72,80,97,9.48,EC,1665435352
clyde river,70.4692,-68.5914,19.63,79,40,16.11,CA,1665435359
banjar,-8.19,114.9675,76.39,89,100,5.14,ID,1665435360
avarua,-21.2078,-159.775,77.05,73,20,26.46,CK,1665434771
hofn,64.2539,-15.2082,33.44,60,35,10.49,IS,1665435362
nizwa,22.9333,57.5333,75.92,22,14,3.13,OM,1665435362
oktyabrskiy,54.4815,53.471,49.66,58,100,3.33,RU,1665435179
college,64.8569,-147.8028,33.21,87,40,0,US,1665435364
susangerd,31.5608,48.1831,86.83,16,0,6.11,IR,1665435367
port blair,11.6667,92.75,77.99,84,100,2.68,IN,1665435368
mayumba,-3.432,10.6554,76.5,90,58,7.07,GA,1665435369
manado,1.487,124.8455,75.97,94,40,3.44,ID,1665435082
tarauaca,-8.1614,-70.7656,94.64,37,80,2.28,BR,1665435371
bay roberts,47.5999,-53.2648,52.14,66,6,4,CA,1665435371
